project,commit,rename,last name
rails,19c3495a671c364e0dc76c276efbcd9dc6914c74,actionpack/lib/action_controller/{old_base/chained => base}/flash.rb,actionpack/lib/action_controller/metal/flash.rb
rails,bd28c7b1b8a569d431cc93924ad1ff5fdb59f401,activesupport/lib/active_support/core_ext/{ => object}/duplicable.rb,activesupport/lib/active_support/core_ext/object/duplicable.rb
rails,19c3495a671c364e0dc76c276efbcd9dc6914c74,actionpack/lib/action_controller/{old_base => base}/mime_responds.rb,actionpack/lib/action_controller/metal/mime_responds.rb
rails,b61f6f59805eec4f5bb873a85910c9fe00e839a9,activerecord/lib/{ => rails}/generators/active_record/model/templates/model.rb,activerecord/lib/rails/generators/active_record/model/templates/model.rb
rails,29d4c2b36f92b333b66091869b5cf61e2a480a36,railties/lib/commands/performance/{profile.rb => profiler.rb},railties/lib/commands/performance/profiler.rb
rails,f0dd77c6be6a86fe384bb0015151e0a497973d39,railties/lib/{ => rails}/ruby_version_check.rb,railties/lib/rails/ruby_version_check.rb
phpunit,3a5808fbca4ee832c27f13a544fdf8809eec62ec,{PHPUnit => src}/Framework/SkippedTest.php,src/Framework/SkippedTest.php
rails,f0dd77c6be6a86fe384bb0015151e0a497973d39,railties/lib/{ => rails}/generators/active_record/model/model_generator.rb,activerecord/lib/rails/generators/active_record/model/model_generator.rb
rails,6860db61f516b813af624d38b47fef0bf983539c,activerecord/lib/active_record/{mixins => acts}/list.rb,activerecord/lib/active_record/acts/list.rb
rails,0d6e8edc2a47a4b4c6824936632bfb83850db343,{actionpack => actionview}/lib/action_view/helpers/rendering_helper.rb,actionview/lib/action_view/helpers/rendering_helper.rb
jenkins,a1239983e94926fc14cc2bf2fab336184d344fa7,{core => maven-plugin}/src/main/java/hudson/maven/PluginName.java,maven-plugin/src/main/java/hudson/maven/PluginName.java
rails,f38e89cfbad6886a2812b1176e0c47b7d95cda43,railties/{builtin/rails_info => lib}/rails/info_controller.rb,railties/lib/rails/info_controller.rb
rails,319ae4628f4e0058de3e40e4ca7791b17e45e70c,actionpack/lib/{action_controller/dispatch => action_dispatch/http}/response.rb,actionpack/lib/action_dispatch/http/response.rb
phpunit,3a5808fbca4ee832c27f13a544fdf8809eec62ec,{PHPUnit => src}/Framework/Constraint/JsonMatches/ErrorMessageProvider.php,src/Framework/Constraint/JsonMatches/ErrorMessageProvider.php
phpunit,3a5808fbca4ee832c27f13a544fdf8809eec62ec,{PHPUnit => src}/Framework/Constraint/ArrayHasKey.php,src/Framework/Constraint/ArrayHasKey.php
rails,4494a752c3c568c65fa899c54486153a1a5fa187,railties/lib/{generator => generators}/base.rb,railties/lib/rails/generators/base.rb
rails,f0dd77c6be6a86fe384bb0015151e0a497973d39,railties/lib/{ => rails}/generators/active_record/session_migration/session_migration_generator.rb,activerecord/lib/rails/generators/active_record/session_migration/session_migration_generator.rb
jenkins,a1239983e94926fc14cc2bf2fab336184d344fa7,{core => maven-plugin}/src/main/java/hudson/maven/reporters/ReportAction.java,maven-plugin/src/main/java/hudson/maven/reporters/ReportAction.java
phpunit,210b6211303c41da33bc0f894fb0e289892b5685,{Framework => PHPUnit/Framework}/ComparisonFailure/Type.php,PHPUnit/Framework/ComparisonFailure/Type.php
phpunit,3a5808fbca4ee832c27f13a544fdf8809eec62ec,{PHPUnit => src}/Framework/Comparator/SplObjectStorage.php,src/Framework/Comparator/SplObjectStorage.php
rails,cb24c0f14158b392e86b5948c6091398aab0a968,railties/lib/commands/perform/{benchmarker => benchmarker.rb},railties/lib/commands/performance/benchmarker.rb
rails,a0f2b1d95d3785de92ae271fd7ea23e91c0cadc6,actionpack/lib/action_controller/{ => dispatch}/request.rb,actionpack/lib/action_dispatch/http/request.rb
rails,7a67d0f617db7d2962b6c3b80466e21570b244bf,{actionservice => actionwebservice}/setup.rb,actionwebservice/setup.rb
rails,0a0ac868453e9d8d9ee1dac6a7eb274772235b05,railties/{bin => lib/commands/perfom}/benchmarker,railties/lib/commands/performance/benchmarker.rb
phpunit,3a5808fbca4ee832c27f13a544fdf8809eec62ec,{PHPUnit => src}/Framework/Constraint/IsEmpty.php,src/Framework/Constraint/IsEmpty.php
rails,6d87cd028b32570973450424db164e5405a0ee13,{railties/guides => guides}/code/getting_started/config/initializers/mime_types.rb,guides/code/getting_started/config/initializers/mime_types.rb
rails,7a67d0f617db7d2962b6c3b80466e21570b244bf,{actionservice => actionwebservice}/lib/action_service/api/action_controller.rb,actionwebservice/lib/action_web_service/api/action_controller.rb
jquery,c43b078c6911027fd4124d542446ad0098662f6a,src/{transports => ajax}/script.js,src/ajax/script.js
phpunit,3a5808fbca4ee832c27f13a544fdf8809eec62ec,{PHPUnit => src}/Framework/OutputError.php,src/Framework/OutputError.php
rails,f0dd77c6be6a86fe384bb0015151e0a497973d39,railties/lib/{ => rails}/generators/active_record/migration/migration_generator.rb,activerecord/lib/rails/generators/active_record/migration/migration_generator.rb
rails,a7b90b7cdd779fcde2bc3f4c97f69a72ca714440,railties/lib/{ => rails}/plugin/loader.rb,railties/lib/rails/plugin/loader.rb
rails,df000fca265974d53aa7fd6671ceb2c4c89b8c2b,actionpack/lib/{ => action_pack}/version.rb,actionpack/lib/action_pack/version.rb
rails,0d6e8edc2a47a4b4c6824936632bfb83850db343,{actionpack => actionview}/lib/action_view/helpers/tags/url_field.rb,actionview/lib/action_view/helpers/tags/url_field.rb
rails,0ee1cb2cd32bfaf47deaf5440dd5b9cf0915ab6a,activesupport/lib/active_support/core_ext/bigdecimal/{formatting.rb => conversions.rb},activesupport/lib/active_support/core_ext/bigdecimal/conversions.rb
rails,cad8a2018752050dcd536c255f3865c2a8bb30c3,actionpack/lib/abstract_controller/{rendering.rb => errors.rb},actionpack/lib/abstract_controller/rendering.rb
rails,f12fdc50a69c3861add6b3ec53507f1c6a25e1cd,actionpack/lib/action_controller/{ => assertions}/assert_select.rb,actionpack/lib/action_controller/assertions/selector_assertions.rb
rails,d219d54930a68a9c5de3705d05d5d464e5e51b54,railties/lib/commands/{update => update.rb},railties/lib/commands/update.rb
rails,f2f5cdc8bcd9df3a297ea02b80dbdb21790de732,actionpack/lib/action_view/helpers/{active_record_helper.rb => active_model_helper.rb},actionpack/lib/action_view/helpers/active_model_helper.rb
phpunit,3a5808fbca4ee832c27f13a544fdf8809eec62ec,{PHPUnit => src}/Framework/Constraint/TraversableContainsOnly.php,src/Framework/Constraint/TraversableContainsOnly.php
rails,bd6b61be88dfe6eb1ff1dcc5c17542d804a842c7,actionpack/lib/action_controller/{base => metal}/hide_actions.rb,actionpack/lib/action_controller/metal/hide_actions.rb
phpunit,210b6211303c41da33bc0f894fb0e289892b5685,{Runner => PHPUnit/Runner}/IncludePathTestCollector.php,PHPUnit/Runner/IncludePathTestCollector.php
rails,bd6b61be88dfe6eb1ff1dcc5c17542d804a842c7,actionpack/lib/action_controller/{base => metal}/url_for.rb,actionpack/lib/action_controller/metal/url_for.rb
rails,bca510cec23aff4c147f2ab5c30de930f120d84b,activesupport/lib/active_support/core_ext/{ => object}/try.rb,activesupport/lib/active_support/core_ext/object/try.rb
rails,ec03a601811587dd4265667aadd50c101c23b116,actionwebservice/lib/{action_service => action_web_service}/support/signature.rb,actionwebservice/lib/action_web_service/support/signature.rb
phpunit,3a5808fbca4ee832c27f13a544fdf8809eec62ec,{PHPUnit => src}/Runner/Version.php,src/Runner/Version.php
pyramid,64372401084889a440c9d990a0febc221e3e4b5c,{repoze/bfg => pyramid}/urldispatch.py,pyramid/urldispatch.py
pyramid,81094235eb8e71664f8dd5cd0db6be4368901baf,pyramid/{paster_templates => scaffolds}/zodb/+package+/models.py,pyramid/scaffolds/zodb/+package+/models.py
jenkins,00b0ebcdf8690fe23febd1217a51302c8bc95bce,{src/main/java/ll => core/src/main/java/jenkins/model/lazy}/SortedIntList.java,core/src/main/java/jenkins/model/lazy/SortedIntList.java
phpunit,210b6211303c41da33bc0f894fb0e289892b5685,{Framework => PHPUnit/Framework}/TestListener.php,PHPUnit/Framework/TestListener.php
rails,0d6e8edc2a47a4b4c6824936632bfb83850db343,{actionpack => actionview}/lib/action_view/helpers/tags/color_field.rb,actionview/lib/action_view/helpers/tags/color_field.rb
jenkins,06a95383632610b4f93675fd50d9ea5184985c58,core/src/main/java/hudson/{notification => model}/ResultTrend.java,core/src/main/java/hudson/model/ResultTrend.java
rails,eb9af20b7cc0e374277cf330bdd404f9daab28ec,actionpack/lib/action_view/{template_handler.rb => template/handler.rb},actionpack/lib/action_view/template/handler.rb
phpunit,3a5808fbca4ee832c27f13a544fdf8809eec62ec,{PHPUnit => src}/Framework/Error/Deprecated.php,src/Framework/Error/Deprecated.php
rails,b5c5121f67c88a2be1c56e810f5c64013351ce79,railties/lib/rails/generators/rails/plugin/templates/lib/%name%/{version.rb.tt => version.rb},railties/lib/rails/generators/rails/plugin/templates/lib/%name%/version.rb
jenkins,a1239983e94926fc14cc2bf2fab336184d344fa7,{core => maven-plugin}/src/main/java/hudson/maven/ModuleDependency.java,maven-plugin/src/main/java/hudson/maven/ModuleDependency.java
jenkins,a1239983e94926fc14cc2bf2fab336184d344fa7,{core => maven-plugin}/src/main/java/hudson/maven/MavenBuild.java,maven-plugin/src/main/java/hudson/maven/MavenBuild.java
rails,a4bef314fe888e3f4df51ad77a22075b5965250e,actionpack/lib/action_controller/assertions/{assert_dom.rb => dom_assertions.rb},actionpack/lib/action_controller/assertions/dom_assertions.rb
rails,c6d13b6320a7552c6ca8c25d67834d0333831bc2,actionpack/lib/sprockets/helpers/{precompile_helper.rb => isolated_helper.rb},actionpack/lib/sprockets/helpers/isolated_helper.rb
jenkins,61c6e4295210e1d34b639099340b7cf8bf5516b5,core/src/main/java/hudson/model/queue/{MatchingWorksheet.java => MappingWorksheet.java},core/src/main/java/hudson/model/queue/MappingWorksheet.java
phpunit,3a5808fbca4ee832c27f13a544fdf8809eec62ec,{PHPUnit => src}/Framework/Comparator/Exception.php,src/Framework/Comparator/Exception.php
rails,ec03a601811587dd4265667aadd50c101c23b116,actionwebservice/lib/{action_service => action_web_service}/protocol/xmlrpc.rb,actionwebservice/lib/action_web_service/protocol/xmlrpc_protocol.rb
rails,b5c5121f67c88a2be1c56e810f5c64013351ce79,railties/lib/rails/generators/rails/scaffold_controller/templates/{controller.rb.tt => controller.rb},railties/lib/rails/generators/rails/scaffold_controller/templates/controller.rb
jenkins,e1f5612b19d359cf9dd689b00eba3135ead02f24,core/src/main/java/{hudson => jenkins}/mvn/FilePathGlobalSettingsProvider.java,core/src/main/java/jenkins/mvn/FilePathGlobalSettingsProvider.java
rails,0d6e8edc2a47a4b4c6824936632bfb83850db343,{actionpack => actionview}/lib/action_view/helpers/tags/collection_select.rb,actionview/lib/action_view/helpers/tags/collection_select.rb
rails,b61f6f59805eec4f5bb873a85910c9fe00e839a9,railties/lib/{ => rails}/generators/rails/helper/helper_generator.rb,railties/lib/rails/generators/rails/helper/helper_generator.rb
phpunit,3a5808fbca4ee832c27f13a544fdf8809eec62ec,{PHPUnit => src}/Framework/Comparator/Type.php,src/Framework/Comparator/Type.php
rails,6d87cd028b32570973450424db164e5405a0ee13,{railties/guides => guides}/code/getting_started/config/environments/production.rb,guides/code/getting_started/config/environments/production.rb
phpunit,3a5808fbca4ee832c27f13a544fdf8809eec62ec,{PHPUnit => src}/Framework/Comparator/DateTime.php,src/Framework/Comparator/DateTime.php
rails,daee6fd92ac16878f6806c3382a9e74592aa9656,railties/{generators => lib/rails_generator/generators/components}/controller/templates/controller.rb,railties/lib/rails_generator/generators/components/controller/templates/controller.rb
rails,20e3cfe52d294893ad46307440e4acf1f02165ea,railties/environments/{shared.rb => environment.rb},railties/environments/environment.rb
rails,ae7ada1fde1648a5c81b9e6adf74d515e0bbe0a5,activeresource/lib/active_resource/{rails.rb => railtie.rb},activeresource/lib/active_resource/railtie.rb
rails,b61f6f59805eec4f5bb873a85910c9fe00e839a9,railties/lib/{ => rails}/generators/rails/controller/templates/controller.rb,railties/lib/rails/generators/rails/controller/templates/controller.rb
rails,056fdc74d52833ac2755713e990bd9f3f9a8c415,railties/lib/rails_generator/generators/components/{scaffold_resource => scaffold}/templates/helper.rb,railties/lib/rails_generator/generators/components/scaffold/templates/helper.rb
rails,0d6e8edc2a47a4b4c6824936632bfb83850db343,{actionpack => actionview}/lib/action_view/helpers/tags/select.rb,actionview/lib/action_view/helpers/tags/select.rb
rails,0d6e8edc2a47a4b4c6824936632bfb83850db343,{actionpack => actionview}/lib/action_view/template.rb,actionview/lib/action_view/template.rb
jenkins,ade5f6fdc96b5908fd895f8cff5ce1d662708a3f,ui-samples-plugin/src/main/java/{hudson => jenkins}/plugins/ui_samples/UISampleDescriptor.java,ui-samples-plugin/src/main/java/jenkins/plugins/ui_samples/UISampleDescriptor.java
jenkins,2bb355c9f01c01802be6a0d707d030241af109d8,core/src/main/java/hudson/maven/{MavenJob.java => MavenModule.java},maven-plugin/src/main/java/hudson/maven/MavenModule.java
rails,a0f2b1d95d3785de92ae271fd7ea23e91c0cadc6,actionpack/lib/action_controller/{ => base}/request_forgery_protection.rb,actionpack/lib/action_controller/metal/request_forgery_protection.rb
jenkins,eedac7b0fcb4ca848111409817f8b431b5e77d6b,core/src/main/java/hudson/model/queue/{ExecutionUnit.java => SubTask.java},core/src/main/java/hudson/model/queue/SubTask.java
rails,d3c40242a58a8863cd216f6639f93df5fdb0c075,railties/lib/rails/{console_sandbox.rb => console/sandbox.rb},railties/lib/rails/console/sandbox.rb
rails,418d487020d24e69b528fdbedfecb20a87f99fcb,actionwebservice/lib/action_web_service/protocol/{xmlrpc.rb => xmlrpc_protocol.rb},actionwebservice/lib/action_web_service/protocol/xmlrpc_protocol.rb
rails,84eb255c500fcf3f70aa7554e8b7869616e18d6e,activesupport/lib/{ => active_support}/version.rb,activesupport/lib/active_support/version.rb
rails,b61f6f59805eec4f5bb873a85910c9fe00e839a9,railties/lib/{ => rails}/generators/rails/controller/controller_generator.rb,railties/lib/rails/generators/rails/controller/controller_generator.rb
jenkins,f7a0608f49df5b35e75b0680bad463b3ab1a3066,core/src/main/java/hudson/lifecycle/{UnixEmbeddedContainerLifecycle.java => UnixLifecycle.java},core/src/main/java/hudson/lifecycle/UnixLifecycle.java
rails,b61f6f59805eec4f5bb873a85910c9fe00e839a9,railties/lib/{ => rails}/generators/erb/mailer/mailer_generator.rb,railties/lib/rails/generators/erb/mailer/mailer_generator.rb
rails,f0dd77c6be6a86fe384bb0015151e0a497973d39,railties/lib/{ => rails}/generators/active_model.rb,railties/lib/rails/generators/active_model.rb
rails,eb9af20b7cc0e374277cf330bdd404f9daab28ec,actionpack/lib/action_view/{template_handlers => template/handlers}/builder.rb,actionpack/lib/action_view/template/handlers/builder.rb
rails,f6d5036dd620da48624ce32494f63aa4221b05d5,guides/code/getting_started/db/migrate/{20110901012504_create_posts.rb => 20120420083127_create_posts.rb},guides/code/getting_started/db/migrate/20130122042648_create_posts.rb
rails,0d6e8edc2a47a4b4c6824936632bfb83850db343,{actionpack => actionview}/lib/action_view/helpers/tags/date_field.rb,actionview/lib/action_view/helpers/tags/date_field.rb
rails,6d87cd028b32570973450424db164e5405a0ee13,{railties/guides => guides}/code/getting_started/db/schema.rb,guides/code/getting_started/db/schema.rb
phpunit,210b6211303c41da33bc0f894fb0e289892b5685,{Framework => PHPUnit/Framework}/Constraint/TraversableContains.php,PHPUnit/Framework/Constraint/TraversableContains.php
rails,6d87cd028b32570973450424db164e5405a0ee13,{railties/guides => guides}/rails_guides/generator.rb,guides/rails_guides/generator.rb
phpunit,3a5808fbca4ee832c27f13a544fdf8809eec62ec,{PHPUnit => src}/Util/Filesystem.php,src/Util/Filesystem.php
phpunit,3a5808fbca4ee832c27f13a544fdf8809eec62ec,{PHPUnit => src}/Framework/Constraint/SameSize.php,src/Framework/Constraint/SameSize.php
rails,1644663ba7f678d178deab2bf1629dc05626f85b,activerecord/lib/active_record/associations/{association_collection.rb => collection_association.rb},activerecord/lib/active_record/associations/collection_association.rb
phpunit,210b6211303c41da33bc0f894fb0e289892b5685,{Framework => PHPUnit/Framework}/TestResult.php,PHPUnit/Framework/TestResult.php
rails,c54c84b7b4d933013ffc7a3ca449117bd7663433,{railties/lib/rails/generators/rails/mailer => actionmailer/lib/generators}/mailer_generator.rb,actionmailer/lib/rails/generators/mailer/mailer_generator.rb
rails,d40d3e0b7b903545e6d5c8744efdf9caf56c85fd,railties/lib/{version.rb => rails_version.rb},railties/lib/rails_version.rb
jquery,badcd1b6f301e6253405f17759c1270549a34e12,src/effects/{animated-selector.js => animatedSelector.js},src/effects/animatedSelector.js
phpunit,332a64cb325aa1ea43e4f2d39a191cd568584f9c,make_phar.php => build/create-phar.php,build/create-phar.php
